iter	Passed	Remaining
0	25	2475
1	27	1361
2	29	953
3	31	759
4	33	635
5	35	563
6	37	498
7	39	452
8	40	409
9	42	380
10	44	357
11	45	336
12	47	315
13	49	301
14	50	284
15	51	272
16	54	266
17	56	255
18	57	247
19	59	236
20	60	227
21	64	227
22	65	218
23	66	210
24	67	203
25	69	196
26	74	200
27	87	224
28	94	232
29	96	226
30	98	218
31	100	212
32	103	209
33	104	202
34	105	196
35	107	190
36	109	186
37	110	180
38	112	176
39	115	173
40	116	168
41	117	162
42	118	157
43	121	154
44	122	149
45	123	144
46	128	144
47	129	140
48	130	136
49	131	131
50	133	127
51	135	125
52	140	124
53	142	120
54	142	116
55	143	113
56	144	109
57	146	105
58	147	102
59	149	99
60	151	96
61	152	93
62	153	90
63	156	87
64	158	85
65	161	83
66	162	80
67	163	77
68	165	74
69	166	71
70	170	69
71	171	66
72	172	63
73	174	61
74	175	58
75	176	55
76	177	53
77	179	50
78	180	48
79	184	46
80	185	43
81	187	41
82	188	38
83	189	36
84	190	33
85	190	31
86	191	28
87	192	26
88	193	23
89	194	21
90	195	19
91	196	17
92	197	14
93	198	12
94	199	10
95	200	8
96	201	6
97	201	4
98	203	2
99	204	0
