iter	Passed	Remaining
0	140	140498
1	142	70915
2	143	47534
3	144	35885
4	145	28855
5	145	24164
6	146	20834
7	147	18335
8	149	16435
9	150	14885
10	151	13599
11	152	12524
12	153	11644
13	154	10898
14	155	10230
15	156	9635
16	157	9119
17	158	8650
18	159	8247
19	161	7889
20	162	7552
21	163	7247
22	163	6964
23	164	6707
24	166	6474
25	167	6256
26	167	6046
27	168	5854
28	169	5676
29	170	5512
30	171	5363
31	172	5226
32	173	5090
33	174	4960
34	175	4836
35	176	4720
36	177	4609
37	178	4507
38	179	4414
39	180	4321
40	180	4231
41	181	4145
42	182	4066
43	183	3992
44	184	3925
45	185	3854
46	186	3786
47	187	3719
48	188	3657
49	189	3597
50	190	3539
51	191	3487
52	192	3432
53	192	3379
54	193	3330
55	194	3281
56	195	3234
57	196	3191
58	198	3158
59	198	3117
60	199	3075
61	200	3034
62	201	2996
63	202	2960
64	203	2931
65	204	2899
66	205	2864
67	206	2830
68	207	2797
69	208	2767
70	209	2737
71	210	2707
72	211	2680
73	211	2650
74	212	2624
75	213	2598
76	214	2573
77	215	2548
78	216	2523
79	217	2499
80	218	2475
81	219	2452
82	219	2425
83	220	2405
84	221	2385
85	222	2364
86	223	2343
87	224	2322
88	224	2302
89	225	2282
90	226	2264
91	227	2249
92	228	2232
93	229	2214
94	230	2195
95	231	2178
96	232	2162
97	233	2147
98	234	2130
99	235	2115
100	235	2099
101	236	2084
102	237	2069
103	238	2054
104	239	2040
105	241	2033
106	242	2019
107	242	2006
108	243	1992
109	244	1978
110	245	1966
111	246	1956
112	247	1943
113	248	1931
114	249	1919
115	250	1907
116	250	1894
117	252	1883
118	253	1873
119	253	1861
120	254	1850
121	255	1838
122	256	1827
123	257	1817
124	258	1808
125	259	1797
126	259	1786
127	260	1777
128	261	1767
129	262	1757
130	263	1750
131	264	1741
132	265	1732
133	266	1723
134	267	1714
135	268	1705
136	269	1698
137	270	1692
138	271	1684
139	272	1675
140	273	1667
141	274	1658
142	275	1651
143	276	1644
144	277	1636
145	278	1629
146	279	1621
147	280	1613
148	281	1605
149	282	1599
150	283	1595
151	284	1588
152	285	1580
153	286	1573
154	287	1565
155	288	1558
156	289	1553
157	290	1546
158	291	1539
159	291	1532
160	292	1523
161	293	1517
162	294	1511
163	295	1505
164	296	1499
165	297	1493
166	298	1486
167	298	1480
168	299	1474
169	300	1469
170	301	1463
171	302	1457
172	303	1451
173	304	1445
174	305	1440
175	306	1434
176	307	1429
177	308	1424
178	309	1418
179	310	1413
180	311	1408
181	312	1402
182	313	1398
183	314	1392
184	315	1387
185	315	1382
186	316	1377
187	317	1372
188	318	1367
189	319	1363
190	320	1358
191	321	1353
192	322	1349
193	323	1344
194	324	1339
195	325	1336
196	326	1331
197	327	1326
198	328	1321
199	329	1316
200	330	1312
201	331	1307
202	332	1304
203	333	1302
204	334	1298
205	335	1293
206	336	1289
207	337	1284
208	338	1280
209	339	1278
210	340	1273
211	341	1269
212	342	1264
213	343	1260
214	344	1256
215	345	1253
216	346	1249
217	347	1245
218	347	1240
219	348	1236
220	349	1232
221	350	1229
222	351	1225
223	352	1221
224	353	1217
225	354	1213
226	355	1209
227	356	1206
228	357	1202
229	358	1199
230	359	1195
231	360	1192
232	361	1188
233	361	1184
234	362	1181
235	363	1178
236	364	1174
237	365	1171
238	366	1168
239	367	1165
240	369	1162
241	370	1159
242	371	1156
243	372	1152
244	372	1149
245	373	1145
246	374	1143
247	376	1141
248	377	1138
249	378	1134
250	379	1131
251	380	1127
252	381	1125
253	382	1123
254	383	1120
255	384	1117
256	385	1114
257	386	1111
258	387	1109
259	388	1106
260	389	1103
261	390	1100
262	391	1096
263	392	1093
264	393	1090
265	394	1088
266	395	1085
267	396	1081
268	397	1079
269	398	1076
270	399	1073
271	400	1070
272	400	1067
273	401	1064
274	402	1062
275	403	1058
276	404	1055
277	406	1054
278	407	1051
279	408	1049
280	408	1046
281	409	1043
282	410	1040
283	411	1037
284	412	1035
285	413	1032
286	414	1029
287	415	1026
288	416	1024
289	417	1021
290	418	1019
291	419	1017
292	421	1016
293	422	1013
294	422	1010
295	424	1008
296	425	1007
297	426	1005
298	427	1003
299	428	1000
300	429	997
301	430	995
302	432	994
303	433	992
304	434	989
305	435	986
306	436	984
307	437	982
308	438	980
309	439	978
310	440	975
311	441	973
312	442	971
313	443	968
314	444	966
315	445	964
316	446	961
317	447	959
318	448	957
319	449	955
320	450	953
321	451	951
322	452	948
323	453	946
324	454	943
325	455	942
326	456	939
327	457	937
328	458	935
329	459	933
330	460	931
331	461	929
332	463	929
333	465	927
334	465	924
335	466	922
336	467	920
337	469	919
338	470	917
339	471	915
340	472	912
341	473	911
342	474	908
343	476	908
344	477	906
345	478	904
346	480	903
347	480	901
348	482	900
349	483	898
350	484	896
351	485	894
352	487	893
353	488	891
354	489	889
355	490	887
356	491	885
357	493	884
358	494	882
359	495	880
360	496	878
361	497	876
362	498	875
363	499	873
364	500	871
365	501	869
366	502	867
367	503	865
368	505	864
369	506	862
370	507	860
371	508	858
372	509	856
373	510	855
374	511	853
375	513	852
376	515	851
377	515	848
378	517	848
379	519	847
380	520	845
381	521	842
382	522	840
383	522	838
384	524	837
385	525	835
386	526	833
387	527	831
388	528	829
389	529	828
390	530	826
391	531	824
392	532	822
393	533	821
394	535	819
395	536	818
396	537	816
397	538	814
398	539	812
399	540	810
400	541	808
401	542	807
402	543	805
403	545	804
404	545	802
405	547	800
406	548	798
407	549	796
408	550	796
409	552	794
410	552	792
411	554	790
412	555	789
413	557	788
414	558	787
415	559	785
416	560	783
417	562	783
418	563	781
419	564	779
420	565	778
421	567	776
422	568	775
423	569	774
424	570	772
425	572	770
426	573	769
427	574	768
428	575	766
429	576	764
430	577	762
431	579	761
432	581	760
433	582	759
434	583	757
435	584	756
436	586	755
437	588	754
438	588	752
439	589	750
440	590	749
441	592	748
442	593	746
443	594	744
444	595	742
445	596	741
446	598	740
447	600	739
448	601	737
449	602	735
450	603	734
451	604	733
